vertical,advertiser_country,cost_per_goal,advertising_platform_id,start_year
Real Estate,BE,1.87,bing,2021
Animals & Pets,BE,0.63,facebook,2023
Interior Design & Furniture,BE,0.68,bing,2023
Health,BE,0.57,bing,2022
Cars & Motorbikes,BE,0.84,adwords,2023
Health,BE,0.3,adwords,2022
Home Improvement & Maintenance,BE,0.58,bing,2022
Home Improvement & Maintenance,BE,0.75,adwords,2021
Industrial,BE,0.48,adwords,2023
Beauty,BE,0.55,facebook,2022
Industrial,BE,0.57,bing,2022
Legal & Law,BE,0.89,adwords,2022
Restaurant,BE,0.16,bing,2023
Food & Drinks,BE,0.13,bing,2023
Home Improvement & Maintenance,BE,0.2,adwords,2021
Home Improvement & Maintenance,BE,0.42,bing,2021
Home Improvement & Maintenance,BE,0.72,adwords,2022
Home Improvement & Maintenance,BE,0.71,adwords,2022
Fashion & Clothing,BE,0.37,adwords,2021
Home Improvement & Maintenance,BE,0.92,bing,2021
Interior Design & Furniture,BE,1.05,adwords,2022
Home Improvement & Maintenance,BE,0.69,adwords,2023
Home Improvement & Maintenance,BE,0.86,facebook,2021
Food & Drinks,BE,0.58,adwords,2022
Home Improvement & Maintenance,BE,0.82,adwords,2022
Home Improvement & Maintenance,BE,0.72,bing,2023
Home Improvement & Maintenance,BE,0.07,adwords,2023
Home Improvement & Maintenance,BE,1.05,adwords,2022
Home Improvement & Maintenance,BE,0.82,bing,2021
Health,BE,0.32,bing,2021
Home Improvement & Maintenance,BE,0.56,facebook,2022
Funeral Services,BE,1.9,adwords,2021
Cars & Motorbikes,BE,1.12,bing,2022
Electronics,BE,0.16,adwords,2023
Interior Design & Furniture,BE,1.46,bing,2023
Animals & Pets,BE,0.33,facebook,2022
Security,BE,1.01,bing,2021
Cars & Motorbikes,BE,0.63,facebook,2022
Agriculture,BE,1.08,bing,2021
Agriculture,BE,3.0,adwords,2023
Beauty,BE,0.69,adwords,2021
Restaurant,BE,0.38,adwords,2023
Fashion & Clothing,BE,0.73,bing,2021
Beauty,BE,0.57,bing,2022
Business,BE,0.43,bing,2022
Cars & Motorbikes,BE,0.36,bing,2023
Home Improvement & Maintenance,BE,0.88,bing,2021
Home Improvement & Maintenance,BE,0.43,bing,2023
Industrial,BE,1.14,bing,2023
Home Improvement & Maintenance,BE,0.31,bing,2023
Home Improvement & Maintenance,BE,0.51,bing,2023
Electronics,BE,0.82,adwords,2022
Industrial,BE,0.48,adwords,2023
Business,BE,0.73,adwords,2021
Flowers & Plants,BE,0.08,facebook,2023
Industrial,BE,0.78,adwords,2021
Flowers & Plants,BE,0.42,adwords,2022
Accommodation & Hotels,BE,0.33,bing,2021
Home Improvement & Maintenance,BE,0.96,bing,2022
Home Improvement & Maintenance,BE,0.19,bing,2021
Beauty,BE,0.24,adwords,2022
Home Improvement & Maintenance,BE,0.69,bing,2021
Health,BE,0.73,bing,2022
Home Improvement & Maintenance,BE,0.39,bing,2023
Industrial,BE,1.36,bing,2022
Agriculture,BE,2.17,bing,2022
Home Improvement & Maintenance,BE,1.02,adwords,2021
Accommodation & Hotels,BE,0.93,adwords,2022
Interior Design & Furniture,BE,0.74,adwords,2021
Health,BE,0.7,bing,2021
Home Improvement & Maintenance,BE,1.68,bing,2023
Health,BE,0.44,adwords,2023
Funeral Services,BE,0.12,adwords,2023
Home Improvement & Maintenance,BE,0.47,bing,2022
Environment,BE,0.89,bing,2023
Health,BE,0.39,adwords,2023
Interior Design & Furniture,BE,0.61,bing,2022
Beauty,BE,0.35,adwords,2023
Cars & Motorbikes,BE,0.71,facebook,2022
Home Improvement & Maintenance,BE,0.34,facebook,2021
Others,BE,0.67,bing,2022
Beauty,BE,0.26,bing,2022
