campaign_id,vertical,partner_name,internal_state_id,ads_aggregate_state,goal_id,state_id,advertiser_country,max_goals,cost_per_goal,input_amount,advertising_platform_id
205,Pharmacy,Partner B,enabled,null,clicks,enabled,ES,241,0.39769,95.84329,#N/A
206,Transport & Logistics,Partner B,enabled,null,clicks,paused,ES,241,0.18,43.38,#N/A
207,Industrial,Partner B,enabled,null,clicks,enabled,ES,238,0.26846,63.89348,#N/A
208,Food & Drinks,Partner B,enabled,null,clicks,paused,ES,237,0.17,40.29,#N/A
209,Legal & Law,Partner B,enabled,null,clicks,enabled,ES,236,0.27068,63.88048,#N/A
210,Industrial,Partner B,enabled,null,clicks,enabled,ES,235,0.27144,63.7884,#N/A
211,Health,Partner B,enabled,null,clicks,paused,ES,235,0.16,37.6,#N/A
212,Industrial,Partner B,enabled,null,clicks,enabled,ES,233,0.41138,95.85154,#N/A
213,Food & Drinks,Partner B,enabled,null,clicks,enabled,ES,233,0.54722,127.50226,#N/A
214,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,233,0.27411,63.86763,#N/A
215,Industrial,Partner B,enabled,null,clicks,enabled,ES,231,0.55336,127.82616,#N/A
216,Home Improvement & Maintenance,Partner B,enabled,null,clicks,enabled,ES,231,0.27689,63.96159,#N/A
217,Accommodation & Hotels,Partner B,enabled,null,clicks,enabled,ES,230,0.27798,63.9354,#N/A
218,Industrial,Partner B,enabled,null,clicks,enabled,ES,226,0.28198,63.72748,#N/A
219,School,Partner B,enabled,null,clicks,enabled,ES,226,0.28196,63.72296,#N/A
220,Health,Partner B,enabled,null,clicks,enabled,ES,226,0.28304,63.96704,#N/A
221,Health,Partner B,enabled,null,clicks,paused,ES,226,0.42329,95.66354,#N/A
222,Agriculture,Partner B,enabled,null,clicks,enabled,ES,225,0.28387,63.87075,#N/A
223,Industrial,Partner B,enabled,null,clicks,enabled,ES,225,0.28357,63.80325,#N/A
224,Adult,Partner B,enabled,null,clicks,enabled,ES,225,0.2839,63.8775,#N/A
225,Industrial,Partner B,enabled,null,clicks,enabled,ES,223,0.28677,63.94971,#N/A
